RUN_ADM;NOM_ADM;RUN_FM;FECHA_INF;ACTIVO_TOT;MONEDA;PARTICIPES_INST;INVERSION_EN_FONDOS;SERIE;CUOTAS_APORTADAS;CUOTAS_RESCATADAS;CUOTAS_EN_CIRCULACION;VALOR_CUOTA;PATRIMONIO_NETO;NUM_PARTICIPES;NUM_PARTICIPES_INST;FONDO_PEN;REM_FIJA;REM_VARIABLE;GASTOS_AFECTOS;GASTOS_NO_AFECTOS;COMISION_INVERSION;COMISION_RESCATE;FACTOR DE AJUSTE;FACTOR DE REPARTO
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260203;200920808118;$$;S;1;P;458.6361;0;5877493.2414;1287.1536;7565236585;1;1;N;217636.3468;0;2580.046;2489.5947;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260203;200920808118;$$;S;1;O;2470.0713;21662.0511;10581784.3654;1363.4659;14427902143;15;6;N;0;0;4930.4182;4757.5676;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260203;200920808118;$$;S;1;K;0;195865.5728;3773744.1211;1302.0133;4913465036;81;0;N;106203.9205;0;1762.644;1700.8492;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260203;200920808118;$$;S;1;INV;76607.9427;238227.0441;26492369.9849;1784.9797;47288342628;2889;0;N;1698465.0295;0;16262.9217;15692.776;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260204;200640973212;$$;S;1;B;10606.9457;46997.6439;3785561.5814;1761.1867;6667080709;1195;0;N;240414.2682;0;2305.1943;2224.3787;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260204;200640973212;$$;S;1;G;.0881;212.0621;719935.0511;36125.4101;26007948966;19040;2;N;926616.3664;0;8884.792;8573.3088;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260204;200640973212;$$;S;1;PAT;95914.2726;684.2958;21374970.6337;1461.3563;31236447998;347;0;N;727464.3585;0;10668.0107;10294.0115;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260204;200640973212;$$;S;1;P;72.463;0;5877565.7044;1287.279;7566066902;1;1;N;217660.2457;0;2583.9283;2493.3409;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260204;200640973212;$$;S;1;O;16082.43;0;10597866.7954;1363.638;14451653881;15;6;N;0;0;4935.3202;4762.2976;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260204;200640973212;$$;S;1;K;0;0;3773744.1211;1302.1509;4913984304;81;0;N;100974.3535;0;1678.1875;1619.3535;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260204;200640973212;$$;S;1;INV;90953.4718;121578.9767;26461744.48;1785.1414;47237955587;2891;0;N;1690237.983;0;16206.7209;15638.5454;0;0;;
